epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.883,0.74395,1.48452,1.08106,0.80288,0.5749,0.74901,0.62085,0.62652,1.8374,0.96008,0.000651515,0.000651515,0.000651515
2,571.984,0.78568,1.05205,1.1084,0.61383,0.64777,0.60686,0.41074,0.89505,1.84924,1.22842,0.00129208,0.00129208,0.00129208
3,864.933,0.82021,1.01864,1.12934,0.6972,0.68219,0.73981,0.5902,0.7159,1.56796,1.12519,0.00190625,0.00190625,0.00190625
4,1150.43,0.80701,0.94673,1.11959,0.83283,0.80162,0.85723,0.67444,0.79343,1.03551,1.08822,0.0018812,0.0018812,0.0018812
5,1445.63,0.80128,0.87535,1.11022,0.92787,0.83327,0.91611,0.7685,0.64147,0.96488,1.02011,0.0018416,0.0018416,0.0018416
6,1738.43,0.7674,0.82396,1.09696,0.88571,0.86032,0.90998,0.75334,0.65302,0.81693,1.00619,0.001802,0.001802,0.001802
7,2026.74,0.73388,0.76838,1.09132,0.86901,0.83261,0.90157,0.76199,0.60827,0.78131,0.97765,0.0017624,0.0017624,0.0017624
8,2330.82,0.736,0.76694,1.08311,0.8985,0.8502,0.91368,0.78197,0.63024,0.65955,0.97957,0.0017228,0.0017228,0.0017228
9,2629.52,0.73628,0.74412,1.09649,0.881,0.87854,0.92751,0.81195,0.55713,0.72437,0.93847,0.0016832,0.0016832,0.0016832
10,2936.2,0.70867,0.71596,1.08015,0.93822,0.88259,0.9584,0.83842,0.52864,0.53545,0.92161,0.0016436,0.0016436,0.0016436
11,3253.97,0.706,0.6951,1.06693,0.92118,0.89474,0.95186,0.85311,0.48321,0.52218,0.91879,0.001604,0.001604,0.001604
12,3553.6,0.68096,0.66697,1.05386,0.91698,0.91666,0.95447,0.85894,0.47934,0.51736,0.89683,0.0015644,0.0015644,0.0015644
13,3839.43,0.6661,0.65104,1.04881,0.91118,0.91371,0.95124,0.83803,0.52476,0.54711,0.91773,0.0015248,0.0015248,0.0015248
14,4132.39,0.63428,0.63787,1.02816,0.92938,0.93117,0.97139,0.87262,0.47098,0.44588,0.8861,0.0014852,0.0014852,0.0014852
15,4437.28,0.63105,0.6174,1.02499,0.9574,0.90987,0.96143,0.86497,0.47456,0.4704,0.90055,0.0014456,0.0014456,0.0014456
16,4723.36,0.65036,0.61655,1.04578,0.94552,0.91296,0.95817,0.86006,0.466,0.46966,0.89246,0.001406,0.001406,0.001406
17,5025.24,0.6296,0.61154,1.03104,0.93659,0.90081,0.96238,0.86199,0.47071,0.47931,0.89525,0.0013664,0.0013664,0.0013664
18,5329.03,0.61526,0.59766,1.02034,0.91884,0.95142,0.96532,0.87283,0.45956,0.43961,0.88604,0.0013268,0.0013268,0.0013268
19,5632.86,0.61413,0.59675,1.02351,0.92379,0.92105,0.96738,0.8793,0.43751,0.44186,0.88468,0.0012872,0.0012872,0.0012872
20,5931.13,0.609,0.58313,1.03729,0.9538,0.91944,0.96501,0.86327,0.47223,0.4565,0.88701,0.0012476,0.0012476,0.0012476
21,6213.49,0.60642,0.59292,1.02179,0.93824,0.93522,0.97077,0.88095,0.43681,0.43493,0.87452,0.001208,0.001208,0.001208
22,6493.38,0.59934,0.57618,1.01927,0.96121,0.95302,0.97768,0.89226,0.42996,0.39555,0.86598,0.0011684,0.0011684,0.0011684
23,6774.95,0.5868,0.54283,1.02365,0.92905,0.94939,0.97499,0.88611,0.4268,0.40093,0.86641,0.0011288,0.0011288,0.0011288
24,7055.75,0.58493,0.55738,1.0124,0.94463,0.93927,0.97868,0.89065,0.43848,0.3936,0.86628,0.0010892,0.0010892,0.0010892
25,7336.31,0.571,0.55562,1.01064,0.95274,0.93852,0.97884,0.89511,0.40447,0.38471,0.85829,0.0010496,0.0010496,0.0010496
26,7618.96,0.58442,0.54385,1.01569,0.94278,0.9413,0.9773,0.88613,0.42476,0.38742,0.85852,0.00101,0.00101,0.00101
27,7901.72,0.58665,0.55906,1.01476,0.94952,0.95189,0.97063,0.89413,0.3968,0.36353,0.87053,0.0009704,0.0009704,0.0009704
28,8187.22,0.57088,0.52247,1.00287,0.94765,0.95265,0.97875,0.91199,0.39356,0.36121,0.8537,0.0009308,0.0009308,0.0009308
29,8472.03,0.55522,0.50731,0.99505,0.9443,0.961,0.97663,0.906,0.40029,0.35714,0.85435,0.0008912,0.0008912,0.0008912
30,8756.86,0.54086,0.51347,0.98899,0.96595,0.95547,0.98203,0.90638,0.38069,0.33895,0.85409,0.0008516,0.0008516,0.0008516
31,9038.91,0.55728,0.5221,1.00832,0.95888,0.95344,0.98431,0.90434,0.40994,0.34845,0.85213,0.000812,0.000812,0.000812
32,9319.97,0.54143,0.50137,0.99208,0.95159,0.95493,0.98242,0.91818,0.37103,0.32268,0.8412,0.0007724,0.0007724,0.0007724
33,9600.7,0.52314,0.48165,0.98382,0.95412,0.96761,0.98396,0.91878,0.35735,0.31013,0.83543,0.0007328,0.0007328,0.0007328
34,9881.27,0.5371,0.50421,0.98904,0.95721,0.95101,0.98218,0.91141,0.37328,0.32192,0.84342,0.0006932,0.0006932,0.0006932
35,10163.2,0.51366,0.48837,0.97996,0.95743,0.95547,0.9807,0.91919,0.36597,0.31672,0.83997,0.0006536,0.0006536,0.0006536
36,10444.5,0.54215,0.50927,1.00783,0.96514,0.95269,0.9839,0.91847,0.36102,0.32503,0.83902,0.000614,0.000614,0.000614
37,10725,0.508,0.46934,0.98115,0.97824,0.9413,0.98603,0.92167,0.3572,0.30704,0.84237,0.0005744,0.0005744,0.0005744
38,11004.8,0.49927,0.46529,0.9738,0.95806,0.97099,0.98453,0.91936,0.35737,0.31145,0.8431,0.0005348,0.0005348,0.0005348
39,11284.2,0.50241,0.45076,0.97884,0.9462,0.96117,0.98429,0.92218,0.35244,0.31342,0.83863,0.0004952,0.0004952,0.0004952
40,11564.8,0.52149,0.464,0.99059,0.9594,0.95679,0.98607,0.92606,0.35147,0.29671,0.83615,0.0004556,0.0004556,0.0004556
41,11845.7,0.42533,0.37918,0.92656,0.97399,0.93725,0.98451,0.93377,0.33727,0.29881,0.83438,0.000416,0.000416,0.000416
42,12126.2,0.41931,0.35464,0.93119,0.96557,0.95951,0.98722,0.92708,0.34301,0.28649,0.83455,0.0003764,0.0003764,0.0003764
